AÃ‘O,PERU PBI
1960,2571908062.07692
1961,2899654840.36563
1962,3286773187.87687
1963,3600957771.15299
1964,4356913870.23504
1965,5166861068.42164
1966,6113607728.15668
1967,6204253758.57616
1968,5736083835.22481
1969,6420909789.63824
1970,7432223176.77261
1971,8289582883.50127
1972,9189413409.01292
1973,10994381894.7984
1974,13858441211.2196
1975,16877163792.1284
1976,15947709379.6507
1977,14620386673.8544
1978,12495779622.071
1979,15962459447.2168
1980,18134029179.6393
1981,21649137620.3055
1982,21793496819.3379
1983,17345624453.6916
1984,17599660054.286
1985,16548827018.2872
1986,15244232957.8759
1987,20702298396.9717
1988,15439408447.2288
1989,22499559086.0343
1990,26410386669.3609
1991,34672122380.7687
1992,36139225287.9079
1993,35158109999.4973
1994,44882079766.8913
1995,53312793687.3836
1996,55252414130.3019
1997,58147522522.5225
1998,55501467877.381
1999,50187324567.883
2000,51744749133.213
2001,52030158775.4055
2002,54777553515.0809
2003,58731030121.8671
2004,66768703497.5687
2005,76060606060.6061
2006,88643193061.748
2007,102170981144.136
2008,120550599815.441
2009,120822986521.479
2010,147528937028.778
2011,171761737046.585
2012,192648999090.082
2013,201217661645.509
2014,201080662205.002
2015,189926516769.25
2016,191639655121.33
2017,211389272242.157
2018,
